List	Concept in common (total concepts in list)	Rank correlation with vi	Rank correlation with hi	Rank correlation with vi-hi
Swadesh100	99 (100)	-0.022	-0.152	0.075
Dyen rank (1975)	173 (196)	-0.084	0.132	-0.163
Petroni & Serva	92 (100)	-0.212	0.053	-0.183
Pagel mean rate	176 (200)	-0.065	0.038	-0.07
ASJP rank	99 (100)	-0.029	0.128	-0.143
Rama & Borin rank	99 (100)	-0.144	-0.062	-0.093
Peust ranking	178 (180)	0.08	0.091	-0.143
Tadmor score	97 (100)	-0.108	0.161	-0.21
Tadmor score (replica)	624 (1460)	0.106	-0.168	0.178
WOLD borrowed score	624 (1460)	-0.096	0.244	-0.216
WOLD age score	624 (1460)	0.064	0.02	0.028
WOLD simplicity score	624 (1460)	0.017	0.092	-0.06
lgc	1014 (1016)	0.331	0.035	0.221
inf	1014 (1016)	0.167	0.008	0.114
NELex rank	1014 (1016)	0.263	0.016	0.182
